Class;Organism ;KM Value
3.1.1.1;Reticulitermes flavipes;0.048
3.1.1.1;Bacillus subtilis;0.05
3.1.1.1;Saccharolobus shibatae;0.05
3.1.1.1;Saccharolobus shibatae;0.05
3.1.1.1;Saccharolobus solfataricus;0.05
3.1.1.1;Saccharolobus solfataricus;0.05
3.1.1.1;Sus scrofa;0.05
3.1.1.1;Saccharolobus solfataricus;0.051
3.1.1.1;Pyrobaculum calidifontis;0.051
3.1.1.1;Pyrobaculum calidifontis;0.051
3.1.1.1;Reticulitermes flavipes;0.052
3.1.1.1;Bombyx mori;0.055
3.1.1.1;Rhizobium viscosum;0.0558
3.1.1.1;Rhodobacter sphaeroides;0.056
3.1.1.1;Paenarthrobacter nitroguajacolicus;0.06
3.1.1.1;Aspergillus nomius;0.06
3.1.1.1;Sulfolobus acidocaldarius;0.0606
3.1.1.1;Klebsiella sp.;0.068
3.1.1.1;Klebsiella sp.;0.068
3.1.1.1;Psychrobacter sp.;0.07
3.1.1.1;Pyrobaculum calidifontis;0.071
3.1.1.1;Pyrobaculum calidifontis;0.071
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;0.072
3.1.1.1;Aspergillus nomius;0.075
3.1.1.1;Lactobacillus casei;0.077
3.1.1.1;Lactobacillus casei;0.077
3.1.1.1;Bacillus subtilis;0.077
3.1.1.1;uncultured bacterium;0.07849
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;0.079
3.1.1.1;Homo sapiens;0.08
3.1.1.1;Sus scrofa;0.08
3.1.1.1;Malus domestica;0.0828
3.1.1.1;Equus caballus;0.084
3.1.1.1;Klebsiella sp.;0.092
3.1.1.1;Klebsiella sp.;0.092
3.1.1.1;Lactobacillus casei;0.097
3.1.1.1;Lactobacillus casei;0.097
3.1.1.1;Lactobacillus casei;0.097
3.1.1.1;Geobacillus stearothermophilus;0.0971
3.1.1.1;uncultured bacterium;0.1
3.1.1.1;Homo sapiens;0.1
3.1.1.1;Arthrobacter globiformis;0.1
3.1.1.1;Homo sapiens;0.11
3.1.1.1;Aspergillus nomius;0.11
3.1.1.1;Homo sapiens;0.11
3.1.1.1;Rhodobacter sphaeroides;0.11
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;0.12
3.1.1.1;Lactobacillus casei;0.12
3.1.1.1;Lactobacillus casei;0.12
3.1.1.1;Lactobacillus casei;0.12
3.1.1.1;Lactobacillus casei;0.12
3.1.1.1;Microbacterium sp.;0.12
3.1.1.1;Homo sapiens;0.125
3.1.1.1;Sulfolobus acidocaldarius;0.1287
3.1.1.1;Homo sapiens;0.13
3.1.1.1;Saccharolobus shibatae;0.13
3.1.1.1;Saccharolobus shibatae;0.13
3.1.1.1;uncultured bacterium;0.13
3.1.1.1;Saccharolobus solfataricus;0.13
3.1.1.1;Ferroplasma acidiphilum;0.13
3.1.1.1;Myzus persicae;0.131
3.1.1.1;Lactobacillus casei;0.134
3.1.1.1;Homo sapiens;0.137
3.1.1.1;Klebsiella sp.;0.139
3.1.1.1;Klebsiella sp.;0.139
3.1.1.1;Sus scrofa;0.14
3.1.1.1;Bombyx mori;0.143
3.1.1.1;Sulfolobus acidocaldarius;0.1517
3.1.1.1;Sulfurisphaera tokodaii;0.152
3.1.1.1;Sulfurisphaera tokodaii;0.153
3.1.1.1;Homo sapiens;0.16
3.1.1.1;Rhodobacter sphaeroides;0.16
3.1.1.1;Pyrobaculum calidifontis;0.164
3.1.1.1;Pyrobaculum calidifontis;0.164
3.1.1.1;Sus scrofa;0.17
3.1.1.1;Microbacterium sp.;0.17
3.1.1.1;Rhodobacter sphaeroides;0.18
3.1.1.1;Saccharolobus shibatae;0.18
3.1.1.1;Saccharolobus shibatae;0.18
3.1.1.1;Arthrobacter globiformis;0.18
3.1.1.1;Galeocerdo cuvier;0.185
3.1.1.1;Lactobacillus casei;0.186
3.1.1.1;Xeropicta derbentina;0.187
3.1.1.1;uncultured bacterium;0.19
3.1.1.1;Psychrobacter sp.;0.19
3.1.1.1;Lactobacillus casei;0.19
3.1.1.1;Lactobacillus casei;0.19
3.1.1.1;Bacillus subtilis;0.196
3.1.1.1;uncultured bacterium;0.2
3.1.1.1;Bacillus circulans;0.2
3.1.1.1;Equus caballus;0.21
3.1.1.1;Sus scrofa;0.22
3.1.1.1;Sus scrofa;0.22
3.1.1.1;Rhodobacter sphaeroides;0.22
3.1.1.1;Saccharolobus solfataricus;0.222
3.1.1.1;Xeropicta derbentina;0.222
3.1.1.1;Sulfolobus islandicus;0.227
3.1.1.1;Sulfolobus islandicus;0.227
3.1.1.1;Sulfurisphaera tokodaii;0.239
3.1.1.1;Rhodobacter sphaeroides;0.24
3.1.1.1;Thermotoga maritima;0.243
3.1.1.1;Escherichia coli;0.25
3.1.1.1;Escherichia coli;0.25
3.1.1.1;Escherichia coli;0.25
3.1.1.1;Psychrobacter sp.;0.25
3.1.1.1;Escherichia coli;0.25
3.1.1.1;Escherichia coli;0.25
3.1.1.1;Sulfolobus islandicus;0.252
3.1.1.1;Sulfolobus islandicus;0.252
3.1.1.1;Klebsiella sp.;0.261
3.1.1.1;Klebsiella sp.;0.261
3.1.1.1;Homo sapiens;0.27
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;0.28
3.1.1.1;Psychrobacter sp.;0.28
3.1.1.1;Escherichia coli;0.29
3.1.1.1;Escherichia coli;0.29
3.1.1.1;Escherichia coli;0.29
3.1.1.1;Escherichia coli;0.29
3.1.1.1;Equus caballus;0.31
3.1.1.1;Arthrobacter globiformis;0.31
3.1.1.1;Ferroplasma acidiphilum;0.32
3.1.1.1;Homo sapiens;0.322
3.1.1.1;Homo sapiens;0.33
3.1.1.1;Escherichia coli;0.33
3.1.1.1;Escherichia coli;0.33
3.1.1.1;Aspergillus nomius;0.33
3.1.1.1;Psychrobacter sp.;0.33
3.1.1.1;Rhodobacter sphaeroides;0.33
3.1.1.1;Escherichia coli;0.33
3.1.1.1;Escherichia coli;0.33
3.1.1.1;Arthrobacter globiformis;0.33
3.1.1.1;Klebsiella sp.;0.339
3.1.1.1;Klebsiella sp.;0.339
3.1.1.1;Anoxybacillus sp.;0.348
3.1.1.1;Pyrobaculum calidifontis;0.348
3.1.1.1;Pyrobaculum calidifontis;0.348
3.1.1.1;Pyrobaculum sp.;0.35
3.1.1.1;Aspergillus nomius;0.35
3.1.1.1;Escherichia coli;0.35
3.1.1.1;Escherichia coli;0.35
3.1.1.1;Escherichia coli;0.35
3.1.1.1;Escherichia coli;0.35
3.1.1.1;Homo sapiens;0.356
3.1.1.1;Homo sapiens;0.365
3.1.1.1;Bombyx mori;0.37
3.1.1.1;Ferroplasma acidiphilum;0.37
3.1.1.1;Paenarthrobacter nitroguajacolicus;0.38
3.1.1.1;Microbacterium sp.;0.38
3.1.1.1;Aspergillus nomius;0.39
3.1.1.1;Homo sapiens;0.398
3.1.1.1;Rhodobacter sphaeroides;0.4
3.1.1.1;Sus scrofa;0.4
3.1.1.1;Sus scrofa;0.4
3.1.1.1;Bombyx mori;0.4
3.1.1.1;Homo sapiens;0.4
3.1.1.1;uncultured bacterium;0.41
3.1.1.1;uncultured bacterium;0.42
3.1.1.1;Psychrobacter sp.;0.42
3.1.1.1;Rhodobacter sphaeroides;0.42
3.1.1.1;Rhodobacter sphaeroides;0.42
3.1.1.1;Lactobacillus casei;0.42
3.1.1.1;Lactobacillus casei;0.42
3.1.1.1;Sus scrofa;0.43
3.1.1.1;Pseudomonas aeruginosa PAO1;0.43
3.1.1.1;Ferroplasma acidiphilum;0.45
3.1.1.1;Saccharolobus solfataricus;0.45
3.1.1.1;Enterobacter cloacae;0.45
3.1.1.1;Sus scrofa;0.46
3.1.1.1;uncultured bacterium;0.46
3.1.1.1;Homo sapiens;0.46
3.1.1.1;Sulfurisphaera tokodaii;0.464
3.1.1.1;uncultured bacterium;0.47
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;0.47
3.1.1.1;Ferroplasma acidiphilum;0.47
3.1.1.1;Ferroplasma acidiphilum;0.48
3.1.1.1;Bacillus sp. SCSIO 15121;0.5
3.1.1.1;Thermobifida fusca;0.5
3.1.1.1;Equus caballus;0.5
3.1.1.1;Sus scrofa;0.51
3.1.1.1;uncultured bacterium;0.51
3.1.1.1;Sus scrofa;0.52
3.1.1.1;Rhodobacter sphaeroides;0.52
3.1.1.1;Rhodobacter sphaeroides;0.56
3.1.1.1;Ferroplasma acidiphilum;0.6
3.1.1.1;Escherichia coli;0.6
3.1.1.1;Escherichia coli;0.6
3.1.1.1;Sus scrofa;0.6
3.1.1.1;Escherichia coli;0.6
3.1.1.1;Escherichia coli;0.6
3.1.1.1;Enterobacter cloacae;0.6
3.1.1.1;Sulfolobus islandicus;0.61
3.1.1.1;Sulfolobus islandicus;0.61
3.1.1.1;Rhodobacter sphaeroides;0.62
3.1.1.1;uncultured bacterium;0.63
3.1.1.1;Sus scrofa;0.63
3.1.1.1;Rhodobacter sphaeroides;0.64
3.1.1.1;Rhodobacter sphaeroides;0.65
3.1.1.1;Aspergillus nomius;0.66
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;0.67
3.1.1.1;Thalassobacillus sp.;0.69
3.1.1.1;uncultured bacterium;0.7
3.1.1.1;Ferroplasma acidiphilum;0.7
3.1.1.1;Rhodobacter sphaeroides;0.7
3.1.1.1;Equus caballus;0.71
3.1.1.1;Ferroplasma acidiphilum;0.73
3.1.1.1;Mycobacterium tuberculosis;0.738
3.1.1.1;uncultured bacterium;0.76
3.1.1.1;Agrobacterium tumefaciens;0.761
3.1.1.1;Sus scrofa;0.85
3.1.1.1;Agrobacterium tumefaciens;0.86
3.1.1.1;Archaeoglobus fulgidus;0.876
3.1.1.1;Enterobacter cloacae;0.88
3.1.1.1;Rhodobacter sphaeroides;0.9
3.1.1.1;Sus scrofa;0.9
3.1.1.1;Sus scrofa;0.9
3.1.1.1;Sus scrofa;0.91
3.1.1.1;Lactobacillus casei;0.93
3.1.1.1;Lactobacillus casei;0.93
3.1.1.1;Sus scrofa;0.94
3.1.1.1;Sus scrofa;0.96
3.1.1.1;Sus scrofa;0.97
3.1.1.1;Xeropicta derbentina;0.98
3.1.1.1;Alicyclobacillus tengchongensis;1
3.1.1.1;Alicyclobacillus tengchongensis;1
3.1.1.1;Homo sapiens;1
3.1.1.1;Agrobacterium tumefaciens;1.01
3.1.1.1;Homo sapiens;1.03
3.1.1.1;Bombyx mori;1.05
3.1.1.1;Agrobacterium tumefaciens;1.1
3.1.1.1;Equus caballus;1.1
3.1.1.1;Thermotoga maritima;1.15
3.1.1.1;Sus scrofa;1.16
3.1.1.1;Sus scrofa;1.18
3.1.1.1;Homo sapiens;1.198
3.1.1.1;Rhodobacter sphaeroides;1.2
3.1.1.1;Ferroplasma acidiphilum;1.2
3.1.1.1;Aspergillus nomius;1.2
3.1.1.1;Rhodobacter sphaeroides;1.2
3.1.1.1;Pyrobaculum sp.;1.27
3.1.1.1;Aspergillus nomius;1.3
3.1.1.1;Micrococcus sp.;1.39
3.1.1.1;Sus scrofa;1.43
3.1.1.1;Hungateiclostridium thermocellum;1.5
3.1.1.1;Bacillus circulans;1.5
3.1.1.1;Rhodobacter sphaeroides;1.6
3.1.1.1;Rhodobacter sphaeroides;1.6
3.1.1.1;Sus scrofa;1.6
3.1.1.1;Archaeoglobus fulgidus;1.6
3.1.1.1;Micrococcus sp.;1.67
3.1.1.1;Rhodobacter sphaeroides;1.8
3.1.1.1;Hungateiclostridium thermocellum;1.8
3.1.1.1;Rhodobacter sphaeroides;1.9
3.1.1.1;Rattus norvegicus;1.93
3.1.1.1;Equus caballus;2
3.1.1.1;Agrobacterium tumefaciens;2.01
3.1.1.1;Saccharolobus solfataricus;2.1
3.1.1.1;Agrobacterium tumefaciens;2.16
3.1.1.1;Galeocerdo cuvier;2.18
3.1.1.1;Ferroplasma acidiphilum;2.2
3.1.1.1;Bacillus subtilis;2.22
3.1.1.1;Aspergillus nomius;2.3
3.1.1.1;Microbacterium sp.;2.49
3.1.1.1;Saccharolobus solfataricus;2.5
3.1.1.1;Micrococcus sp.;2.63
3.1.1.1;Pyrobaculum sp.;2.64
3.1.1.1;Micrococcus sp.;2.7
3.1.1.1;Lactobacillus casei;2.8
3.1.1.1;Lactobacillus casei;2.8
3.1.1.1;Rhodobacter sphaeroides;2.8
3.1.1.1;Bombyx mori;2.86
3.1.1.1;Equus caballus;3
3.1.1.1;Homo sapiens;3
3.1.1.1;Agrobacterium tumefaciens;3.02
3.1.1.1;Streptococcus equi;3.3
3.1.1.1;Streptococcus equi;3.3
3.1.1.1;Lactobacillus casei;3.4
3.1.1.1;Lactobacillus casei;3.4
3.1.1.1;Ferroplasma acidiphilum;3.5
3.1.1.1;Enterobacter cloacae;3.7
3.1.1.1;Ferroplasma acidiphilum;3.9
3.1.1.1;Paenarthrobacter nitroguajacolicus;4
3.1.1.1;Sus scrofa;4.21
3.1.1.1;Vulcanisaeta moutnovskia;4.47
3.1.1.1;Saccharolobus solfataricus;4.8
3.1.1.1;Rattus norvegicus;4.96
3.1.1.1;Pyrobaculum sp.;4.99
3.1.1.1;Bombyx mori;5
3.1.1.1;Micrococcus sp.;5.88
3.1.1.1;Lactobacillus casei;6
3.1.1.1;Lactobacillus casei;6
3.1.1.1;Micrococcus sp.;6.25
3.1.1.1;Lactobacillus casei;6.6
3.1.1.1;Lactobacillus casei;6.6
3.1.1.1;Equus caballus;6.7
3.1.1.1;Rattus norvegicus;6.74
3.1.1.1;Lactobacillus casei;6.8
3.1.1.1;Lactobacillus casei;6.8
3.1.1.1;Ferroplasma acidiphilum;7.4
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;7.5
3.1.1.1;Spodoptera littoralis;9.6
3.1.1.1;Calotropis procera;9.64
3.1.1.1;Rattus norvegicus;9.8
3.1.1.1;Lactobacillus casei;10
3.1.1.1;Lactobacillus casei;10
3.1.1.1;Microbacterium sp.;10
3.1.1.1;Arthrobacter globiformis;10
3.1.1.1;Homo sapiens;11
3.1.1.1;Spodoptera littoralis;11.4
3.1.1.1;Microbacterium sp.;12.1
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;13
3.1.1.1;Saccharolobus solfataricus;14.5
3.1.1.1;Saccharolobus solfataricus;14.5
3.1.1.1;Homo sapiens;15
3.1.1.1;Microbacterium sp.;16.7
3.1.1.1;Microbacterium sp.;18.3
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;19
3.1.1.1;Streptococcus equi;29
3.1.1.1;Streptococcus equi;29
3.1.1.1;Microbacterium sp.;29.4
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;35
3.1.1.1;Lactobacillus casei;39
3.1.1.1;Lactobacillus casei;39
3.1.1.1;Culex sp.;39.3
3.1.1.1;Saccharolobus solfataricus;50
3.1.1.1;Saccharolobus solfataricus;50
3.1.1.1;Streptococcus equi;56
3.1.1.1;Streptococcus equi;56
3.1.1.1;Lactobacillus delbrueckii subsp. lactis;62
3.1.1.1;Saccharolobus solfataricus;67.5
3.1.1.1;Saccharolobus solfataricus;67.6
3.1.1.1;Streptococcus equi;68
3.1.1.1;Streptococcus equi;68
3.1.1.1;Homo sapiens;70
3.1.1.1;Microbacterium sp.;105
3.1.1.1;Bacillus subtilis;119
3.1.1.1;uncultured bacterium;166.7
3.1.1.1;Homo sapiens;170
3.1.1.1;Streptococcus equi;203
3.1.1.1;Streptococcus equi;203
3.1.1.2;Cavia porcellus;0.000043
3.1.1.2;Gluconobacter oxydans;0.0052
3.1.1.2;Gluconobacter oxydans;0.0079
3.1.1.2;Gluconobacter oxydans;0.0088
3.1.1.2;Gluconobacter oxydans;0.01
3.1.1.2;Gluconobacter oxydans;0.0128
3.1.1.2;Gluconobacter oxydans;0.014
3.1.1.2;Saccharolobus solfataricus;0.017
3.1.1.2;Saccharolobus solfataricus;0.017
3.1.1.2;Gluconobacter oxydans;0.0174
3.1.1.2;Saccharolobus solfataricus;0.028
3.1.1.2;Saccharolobus solfataricus;0.028
3.1.1.2;Lactobacillus casei;0.029
3.1.1.2;Lactobacillus casei;0.029
3.1.1.2;Saccharolobus solfataricus;0.029
3.1.1.2;Saccharolobus solfataricus;0.029
3.1.1.2;Saccharolobus solfataricus;0.031
3.1.1.2;Saccharolobus solfataricus;0.031
3.1.1.2;Gluconobacter oxydans;0.039
3.1.1.2;uncultured organism;0.041
3.1.1.2;Cavia porcellus;0.043
3.1.1.2;Lactobacillus casei;0.063
3.1.1.2;Lactobacillus casei;0.063
3.1.1.2;Gluconobacter oxydans;0.069
3.1.1.2;Gluconobacter oxydans;0.072
3.1.1.2;Saccharolobus solfataricus;0.081
3.1.1.2;Saccharolobus solfataricus;0.081
3.1.1.2;Lactobacillus casei;0.084
3.1.1.2;Lactobacillus casei;0.084
3.1.1.2;Gluconobacter oxydans;0.094
3.1.1.2;Gluconobacter oxydans;0.1
3.1.1.2;Saccharolobus solfataricus;0.122
3.1.1.2;Saccharolobus solfataricus;0.122
3.1.1.2;Sulfolobus islandicus;0.124
3.1.1.2;Sulfolobus islandicus;0.124
3.1.1.2;Gluconobacter oxydans;0.174
3.1.1.2;Felis catus;0.19
3.1.1.2;Oryctolagus cuniculus;0.211
3.1.1.2;Saccharolobus solfataricus;0.224
3.1.1.2;Saccharolobus solfataricus;0.224
3.1.1.2;Lactobacillus casei;0.23
3.1.1.2;Lactobacillus casei;0.23
3.1.1.2;Saccharolobus solfataricus;0.234
3.1.1.2;Saccharolobus solfataricus;0.234
3.1.1.2;Homo sapiens;0.27
3.1.1.2;Saccharolobus solfataricus;0.276
3.1.1.2;Saccharolobus solfataricus;0.276
3.1.1.2;Felis catus;0.29
3.1.1.2;Gluconobacter oxydans;0.369
3.1.1.2;Lactobacillus casei;0.38
3.1.1.2;Lactobacillus casei;0.38
3.1.1.2;Mus musculus;0.5
3.1.1.2;uncultured organism;0.53
3.1.1.2;Homo sapiens;0.7
3.1.1.2;uncultured organism;0.96
3.1.1.2;Lactobacillus casei;1.4
3.1.1.2;Lactobacillus casei;1.4
3.1.1.2;Archaeoglobus fulgidus;1.6
3.1.1.2;Lactobacillus casei;1.9
3.1.1.2;Lactobacillus casei;1.9
3.1.1.2;Macrobrachium lamarrei;2.1
3.1.1.2;Sulfolobus acidocaldarius;2.11
3.1.1.2;Sulfolobus acidocaldarius;2.11
3.1.1.2;Lactobacillus casei;3.2
3.1.1.2;Lactobacillus casei;3.2
3.1.1.2;Triticum aestivum;4.2
3.1.1.2;Lactobacillus casei;5.5
3.1.1.2;Lactobacillus casei;5.5
3.1.1.2;Gluconobacter oxydans;7.1
3.1.1.2;Gluconobacter oxydans;7.2
3.1.1.2;Sulfolobus acidocaldarius;8.18
3.1.1.2;Sulfolobus acidocaldarius;8.18
3.1.1.2;Vulcanisaeta moutnovskia;8.19
3.1.1.2;Vulcanisaeta moutnovskia;8.19
3.1.1.2;Lactobacillus casei;16
3.1.1.2;Lactobacillus casei;16
3.1.1.2;Gluconobacter oxydans;74.6
3.1.1.2;Gluconobacter oxydans;98.7
3.1.1.2;Gluconobacter oxydans;119
3.1.1.2;Gluconobacter oxydans;174.7
3.1.1.3;uncultured bacterium;0.00073
3.1.1.3;Fervidobacterium changbaicum;0.00467
3.1.1.3;Saccharolobus solfataricus;0.0241
3.1.1.3;Bos taurus;0.038
3.1.1.3;Oryza sativa;0.04533
3.1.1.3;Saccharolobus solfataricus;0.0466
3.1.1.3;Bos taurus;0.055
3.1.1.3;Micrococcus sp.;0.06
3.1.1.3;Bos taurus;0.063
3.1.1.3;Macruronus novaezelandiae;0.068
3.1.1.3;Oncorhynchus tshawytscha;0.078
