Class;Organism;Km value
5.3.2.6;Chloroflexus aurantiacus;0.135
5.3.2.6;Chloroflexus aurantiacus;0.143
5.3.2.6;Chloroflexus aurantiacus;0.152
5.3.2.6;Chloroflexus aurantiacus;0.159
5.3.2.6;Chloroflexus aurantiacus;0.198
5.3.2.6;Chloroflexus aurantiacus;0.345
5.3.2.6;Chloroflexus aurantiacus;1.033
5.4.3.6;Chondromyces crocatus;0.178
5.4.3.6;Chondromyces crocatus;0.377
5.3.3.2;Choristoneura fumiferana;0.0033
5.3.3.2;Choristoneura fumiferana;0.006
5.3.3.2;Choristoneura fumiferana;0.0116
5.3.3.2;Choristoneura fumiferana;0.0128
5.5.1.4;Cicer arietinum;2.63
5.5.1.4;Cicer arietinum;2.7
5.5.1.6;Citrus sinensis;0.004
5.1.1.4;Clostridioides difficile;0.612
5.1.1.4;Clostridioides difficile;8.53
5.1.1.4;Clostridioides difficile;46.7
5.1.1.4;Clostridioides difficile;60.2
5.3.1.6;Clostridioides difficile;5
5.3.1.6;Clostridioides difficile;30
5.3.1.6;Clostridioides difficile;270
5.3.1.6;Clostridioides difficile;460
5.1.3.30;Clostridium bolteae;27.4
5.1.3.30;Clostridium bolteae;59.8
5.4.99.1;Clostridium cochlearium;0.14
5.4.99.1;Clostridium cochlearium;0.58
5.4.2.12;Clostridium perfringens;4.2
5.4.2.12;Clostridium perfringens;4.9
5.4.2.12;Clostridium perfringens;5.2
5.1.3.30;Clostridium scindens;2
5.1.3.30;Clostridium scindens;40.1
5.1.3.30;Clostridium sp.;227.6
5.1.3.30;Clostridium sp.;279
5.2.1.5;Clostridium sporogenes;0.0034
5.2.1.5;Clostridium sporogenes;0.0077
5.2.1.5;Clostridium sporogenes;0.0119
5.2.1.5;Clostridium sporogenes;0.0258
5.3.1.15;Cohnella laeviribosi;22.4
5.3.1.15;Cohnella laeviribosi;34
5.3.1.15;Cohnella laeviribosi;121.7
5.99.1.4;Comamonas testosteroni;0.23
5.1.1.1;Corynebacterium glutamicum;5.01
5.1.1.1;Corynebacterium glutamicum;5.24
5.2.1.4;Corynebacterium glutamicum;148.4
5.4.99.5;Corynebacterium glutamicum;2.83
5.3.99.7;Corynebacterium sp.;0.077
5.3.1.9;Cricetulus griseus;0.11
5.3.1.9;Cricetulus griseus;2.58
5.4.3.6;Cupriavidus crocatus;0.377
5.3.3.4;Cupriavidus necator;0.66
5.3.3.4;Cupriavidus necator;3.6
5.3.3.4;Cupriavidus necator;5.2
5.3.3.4;Cupriavidus necator;6
5.3.3.4;Cupriavidus necator;8.9
5.3.3.4;Cupriavidus necator;9.8
5.3.3.4;Cupriavidus necator;10.3
5.4.4.3;Cupriavidus necator;0.1
5.4.99.14;Cupriavidus necator;0.028
5.4.99.14;Cupriavidus necator;0.176
5.5.1.11;Cupriavidus necator;0.02
5.5.1.11;Cupriavidus necator;0.128
5.5.1.11;Cupriavidus necator;0.158
5.5.1.11;Cupriavidus necator;0.304
5.5.1.11;Cupriavidus necator;0.502
5.5.1.11;Cupriavidus necator;4.2
5.5.1.7;Cupriavidus necator;0.0182
5.5.1.7;Cupriavidus necator;0.0781
5.5.1.7;Cupriavidus necator;0.0928
5.5.1.7;Cupriavidus necator;0.274
5.5.1.7;Cupriavidus necator;0.287
5.5.1.7;Cupriavidus necator;0.805
5.5.1.7;Cupriavidus necator;0.819
5.3.3.13;Cutibacterium acnes;0.00482
5.3.3.13;Cutibacterium acnes;0.02577
5.3.3.13;Cutibacterium acnes;0.03794
5.3.3.13;Cutibacterium acnes;0.0657
5.3.1.6;Cyberlindnera jadinii;2.5
5.5.1.4;Cyberlindnera jadinii;0.06
5.4.99.16;Deinococcus geothermalis;254
5.4.99.16;Deinococcus radiodurans;290.7
5.5.1.1;Delftia acidovorans;0.057
5.5.1.1;Delftia acidovorans;0.18
5.5.1.7;Delftia acidovorans;0.05
5.5.1.7;Delftia acidovorans;0.065
5.5.1.7;Delftia acidovorans;0.083
5.1.3.30;Desmospora sp. 8437;81.3
5.1.3.30;Desmospora sp. 8437;549
5.1.3.11;Dictyoglomus turgidum;75.8
5.1.3.11;Dictyoglomus turgidum;79.6
5.3.1.14;Dictyoglomus turgidum;24.6
5.3.1.14;Dictyoglomus turgidum;33.4
5.3.1.14;Dictyoglomus turgidum;36.8
5.3.1.14;Dictyoglomus turgidum;54.5
5.3.1.14;Dictyoglomus turgidum;61.5
5.3.1.14;Dictyoglomus turgidum;63
5.3.1.14;Dictyoglomus turgidum;73.2
5.3.1.15;Dictyoglomus turgidum;1
5.3.1.15;Dictyoglomus turgidum;5
5.3.1.15;Dictyoglomus turgidum;39
5.3.1.15;Dictyoglomus turgidum;65
5.3.1.25;Dictyoglomus turgidum;52
5.3.1.25;Dictyoglomus turgidum;72
5.3.1.25;Dictyoglomus turgidum;77
5.3.1.25;Dictyoglomus turgidum;85
5.3.1.25;Dictyoglomus turgidum;86
5.3.1.25;Dictyoglomus turgidum;90
5.3.1.25;Dictyoglomus turgidum;92
5.3.1.25;Dictyoglomus turgidum;140
5.3.1.25;Dictyoglomus turgidum;148
5.3.1.25;Dictyoglomus turgidum;166
5.3.1.25;Dictyoglomus turgidum;202
5.3.1.25;Dictyoglomus turgidum;225
5.3.1.25;Dictyoglomus turgidum;302
5.3.1.25;Dictyoglomus turgidum;339
5.3.1.25;Dictyoglomus turgidum;385
5.3.1.9;Dictyostelium discoideum;0.1
5.3.1.9;Dictyostelium discoideum;2
5.4.2.12;Dirofilaria immitis;0.58
5.1.3.6;Dolichospermum flos-aquae;0.037
5.5.1.4;Drosophila melanogaster;0.42
5.5.1.4;Drosophila melanogaster;3.5
5.3.1.6;Echinococcus granulosus;2.7
5.4.2.12;Entamoeba histolytica;0.066
5.4.2.12;Entamoeba histolytica;0.106
5.4.2.12;Entamoeba histolytica;0.5
5.4.2.12;Entamoeba histolytica;0.83
5.4.99.16;Enterobacter hormaechei;25
5.4.99.16;Enterobacter hormaechei;75
5.1.1.1;Enterococcus faecalis;2.2
5.1.1.1;Enterococcus faecalis;7.8
5.1.1.13;Enterococcus faecalis;25
5.3.1.4;Enterococcus faecium;3
5.3.1.4;Enterococcus faecium;42
5.3.1.4;Enterococcus faecium;71
5.3.1.4;Enterococcus faecium;101
5.3.1.1;Equus caballus;0.42
5.3.1.1;Equus caballus;0.59
5.1.1.20;Escherichia coli;0.13
5.1.1.20;Escherichia coli;0.19
5.1.1.20;Escherichia coli;0.69
5.1.1.20;Escherichia coli;1.8
5.1.3.2;Escherichia coli;0.026
5.1.3.2;Escherichia coli;0.048
5.1.3.2;Escherichia coli;0.225
5.1.3.2;Escherichia coli;0.255
5.1.3.2;Escherichia coli;0.256
5.1.3.2;Escherichia coli;0.295
5.1.3.2;Escherichia coli;0.323
5.1.3.2;Escherichia coli;0.37
5.1.3.2;Escherichia coli;0.373
5.1.3.2;Escherichia coli;2
5.1.3.2;Escherichia coli;26.4
5.1.3.2;Escherichia coli;83
5.1.3.2;Escherichia coli;110
5.1.3.2;Escherichia coli;230
5.1.3.2;Escherichia coli;260
5.1.3.4;Escherichia coli;0.06
5.1.3.4;Escherichia coli;0.087
5.1.3.4;Escherichia coli;0.096
5.1.3.4;Escherichia coli;0.1
5.1.3.4;Escherichia coli;0.11
5.1.3.4;Escherichia coli;0.14
5.1.3.B1;Escherichia coli;4
5.1.3.B1;Escherichia coli;38
5.3.1.12;Escherichia coli;0.05
5.3.1.12;Escherichia coli;0.16
5.3.1.12;Escherichia coli;0.2
5.3.1.12;Escherichia coli;0.29
5.3.1.12;Escherichia coli;0.3
5.3.1.12;Escherichia coli;0.31
5.3.1.12;Escherichia coli;0.4
5.3.1.12;Escherichia coli;0.41
5.3.1.12;Escherichia coli;0.48
5.3.1.12;Escherichia coli;0.49
5.3.1.12;Escherichia coli;0.5
5.3.1.12;Escherichia coli;0.55
5.3.1.12;Escherichia coli;0.7
5.3.1.12;Escherichia coli;0.8
5.3.1.12;Escherichia coli;0.82
5.3.1.12;Escherichia coli;0.9
5.3.1.12;Escherichia coli;1
5.3.1.12;Escherichia coli;1.2
5.3.1.12;Escherichia coli;1.3
5.3.1.12;Escherichia coli;1.4
5.3.1.12;Escherichia coli;1.7
5.3.1.12;Escherichia coli;2.5
5.3.1.12;Escherichia coli;2.6
5.3.1.12;Escherichia coli;8.5
5.3.1.12;Escherichia coli;9.4
5.3.1.12;Escherichia coli;10.21
5.3.1.12;Escherichia coli;21
5.3.1.12;Escherichia coli;38
5.3.1.12;Escherichia coli;39
5.3.1.12;Escherichia coli;56
5.3.1.12;Escherichia coli;200
5.3.1.12;Escherichia coli;220
5.3.1.13;Escherichia coli;0.3
5.3.1.13;Escherichia coli;0.35
5.3.1.13;Escherichia coli;0.57
5.3.1.13;Escherichia coli;0.61
5.3.1.13;Escherichia coli;0.64
5.3.1.13;Escherichia coli;1.2
5.3.1.14;Escherichia coli;2
5.3.1.14;Escherichia coli;5
5.3.1.16;Escherichia coli;1.6
5.3.1.16;Escherichia coli;1.8
5.3.1.3;Escherichia coli;42
5.3.1.3;Escherichia coli;45
5.3.1.3;Escherichia coli;170
5.3.1.3;Escherichia coli;280
5.3.1.6;Escherichia coli;0.83
5.3.1.6;Escherichia coli;3.1
5.3.1.6;Escherichia coli;4.4
5.3.1.9;Escherichia coli;0.2
5.3.3.8;Escherichia coli;0.006
5.3.3.8;Escherichia coli;0.089
5.4.2.5;Escherichia coli;0.9
5.4.2.5;Escherichia coli;1.1
5.4.2.5;Escherichia coli;8.5
5.4.2.5;Escherichia coli;17
5.4.2.7;Escherichia coli;0.013
5.4.2.7;Escherichia coli;0.014
5.4.2.7;Escherichia coli;0.015
5.4.2.7;Escherichia coli;0.022
5.4.2.7;Escherichia coli;0.043
5.4.4.2;Escherichia coli;0.007
5.4.4.2;Escherichia coli;0.04
5.4.4.2;Escherichia coli;0.066
5.4.4.2;Escherichia coli;0.076
5.4.4.2;Escherichia coli;0.103
5.4.4.2;Escherichia coli;0.192
5.4.4.2;Escherichia coli;0.195
5.4.4.2;Escherichia coli;0.261
5.4.4.2;Escherichia coli;0.319
5.4.4.2;Escherichia coli;0.466
5.4.99.12;Escherichia coli;0.000086
5.4.99.12;Escherichia coli;0.00011
5.4.99.12;Escherichia coli;0.00094
5.4.99.12;Escherichia coli;0.0018
5.4.99.18;Escherichia coli;0.0226
5.4.99.5;Escherichia coli;0.3
5.4.99.5;Escherichia coli;0.45
5.4.99.5;Escherichia coli;0.59
5.4.99.5;Escherichia coli;1.16
5.4.99.59;Escherichia coli;3.43
5.3.3.6;Eubacterium barkeri;7
5.3.3.6;Eubacterium barkeri;60
5.1.3.11;Eubacterium cellulosolvens;11.3
5.1.3.11;Eubacterium cellulosolvens;72
5.4.99.2;Euglena gracilis;0.0279
5.4.99.2;Euglena gracilis;0.3474
5.3.3.9;Felis catus;0.025
5.1.1.4;Ferroplasma acidarmanus;1.17
5.1.1.4;Ferroplasma acidarmanus;31.6
5.1.1.4;Ferroplasma acidarmanus;53
5.1.1.8;Ferroplasma acidarmanus;2.17
5.1.1.8;Ferroplasma acidarmanus;6.12
5.4.4.2;Flavobacterium sp.;0.076
5.4.4.2;Flavobacterium sp.;0.171
