,biology,posterior_mean,q_0.01,q_0.5,q_0.99
70,Arabidopsis thaliana|1.14.14.91|trans-cinnamate,-6.17485851415625,-8.8944738,-6.55671,-0.5353791100000205
71,Arabidopsis thaliana|1.14.15.17|pheophorbide a,-4.541735787865625,-7.0437039,-4.67103,-0.8642580700000018
72,Arabidopsis thaliana|1.14.15.20|hemin,-5.645604381053126,-8.438239,-5.9267900000000004,-0.7750924600000131
73,Arabidopsis thaliana|1.14.15.20|protoheme,-5.43131700075,-7.858536,-5.556765,-1.8155448000000014
74,Arabidopsis thaliana|1.14.19.20|5alpha-Cholest-7-en-3beta-ol,-2.6588929586156254,-5.1581682,-2.62522,-0.3309608600000009
75,Arabidopsis thaliana|1.14.19.41|beta-sitosterol,-6.10484882125,-7.6395116,-6.17759,-3.8558602000000026
76,Arabidopsis thaliana|1.14.19.52|2-(L-cystein-S-yl)-2-(1H-indol-3-yl)acetonitrile,-3.5034143046875,-5.1914236,-3.51373,-1.7876433000000087
77,"Arabidopsis thaliana|1.14.99.66|[histone H3]-N6,N6-dimethyl-L-lysine4",-4.23598179428125,-6.9154967,-4.31318,-1.1919892000000025
78,Arabidopsis thaliana|1.14.99.66|[histone H3]-N6-methyl-L-lysine4,-4.44873996875,-6.9516924,-4.52588,-1.4585169000000036
79,Arabidopsis thaliana|1.17.1.10|NADP+,-0.7210369223315,-2.3013633,-0.685686,0.6332303499999995
80,Arabidopsis thaliana|1.17.1.10|formate,3.6464207490625005,1.01216386,3.76634,5.5748881
81,Arabidopsis thaliana|1.17.1.9|NAD+,-2.2468583821875,-3.4094755,-2.26275,-0.9701465900000047
82,Arabidopsis thaliana|1.17.1.9|formate,1.725319994415625,-0.59077958,1.773415,3.8300812999999985
83,Arabidopsis thaliana|1.18.1.2|NADPH,-5.4182649125,-6.5445915,-5.43908,-4.185124700000002
84,Arabidopsis thaliana|1.2.1.11|NADPH,-3.47738744375,-5.2142664,-3.446335,-1.9267163000000005
85,Arabidopsis thaliana|1.2.1.19|3-aminopropanal,-3.7654810943749997,-5.8035331,-3.7474350000000003,-1.6707437000000005
86,Arabidopsis thaliana|1.2.1.19|4-aminobutanal,-3.857117477771875,-5.695181099999999,-3.88721,-1.6050780000000018
87,Arabidopsis thaliana|1.2.1.19|NAD+,-2.459223993125,-3.7527945000000003,-2.46343,-1.180081200000002
88,Arabidopsis thaliana|1.2.1.3|NAD+,-2.259893508875,-3.6946261000000002,-2.24187,-0.9316798000000013
89,Arabidopsis thaliana|1.2.1.3|propionaldehyde,-2.531599372275,-5.6066232000000005,-2.422465,-0.22543942000000383
90,Arabidopsis thaliana|1.2.1.42|hexadecanal,-4.7420629205625,-6.8472662,-4.85797,-1.4409885000000024
91,Arabidopsis thaliana|1.2.1.42|hexadecanoyl-CoA,-5.203575302812499,-7.6045456,-5.294125,-1.8594689000000038
92,Arabidopsis thaliana|1.2.1.44|caffeoyl-CoA,-3.791182359375,-5.7016631,-3.8950750000000003,-1.0615195
93,Arabidopsis thaliana|1.2.1.44|feruloyl-CoA,-5.582423640625,-7.3150319,-5.653115,-3.077497100000003
94,Arabidopsis thaliana|1.2.1.44|sinapoyl-CoA,-4.34037667,-6.5427973999999995,-4.344035,-2.297848700000001
95,Arabidopsis thaliana|1.2.1.8|3-aminopropionaldehyde,0.4167877667396875,-4.224832,0.638328,2.974957799999995
96,Arabidopsis thaliana|1.2.1.8|4-Aminobutyraldehyde,-0.4942440602975,-3.4389231999999996,-0.4060085,1.7603858999999986
97,Arabidopsis thaliana|1.2.1.8|Betaine aldehyde,-1.67123479295625,-4.629632,-1.68339,1.242966399999997
98,Arabidopsis thaliana|1.2.1.80|hexadecanoyl-[acyl-carrier protein],-2.29298170226875,-5.0940934,-2.291775,0.42522025999999596
